,Compound ID,InChIKey,SMILES,logS,logP,MW
317,C1967,RMDLIKZXAIGBEJ-UHFFFAOYSA-N,CN(C)C1CCC2(CC1)c1ccccc1C=Cc1ccc(Cl)cc12.Cl,-7.369156695,6.4161,374.347
318,C1968,WVECFEIAZAKUNF-UHFFFAOYSA-N,O=C1c2ccccc2-c2ccc(Br)c3cccc1c23,-7.359852326,4.8137,309.157
319,C1969,MOKBCQAPOUEXMW-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2Sc2ccc(C(C)(C)C)cc21.Cl,-7.353609903,6.4055,376.986
320,C62,QQODLKZGRKWIFG-ZAAXVRCTSA-N,CC1(C)[C@@H](C=C(Cl)Cl)[C@@H]1C(=O)O[C@@H](C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.3400002,6.31708,434.288
321,C63,QBYJBZPUGVGKQQ-WBJAICTJSA-N,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,-7.3299999,5.2702,364.91
322,C1970,CUVMRUIWQBLBEX-UHFFFAOYSA-N,CN(C)CCC=C1c2cc(Cl)ccc2Sc2ccc(Cl)cc21.Cl,-7.324989339,6.6434,386.766
323,C1971,FFRDTEGDTSKBIT-UHFFFAOYSA-N,C=CCNc1cnc(N2CCN(CCC(c3ccccc3)(c3ccccc3)c3ccccc3)CC2)nc1,-7.324412843,5.6971,489.654
324,C64,MTCPZNVSDFCBBE-UHFFFAOYSA-N,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.3200002,6.6206,326.433
325,C65,WQLVFSAGQJTQCK-MIRLUMJSSA-N,C[C@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,-7.3200002,5.7139,414.621
326,C66,ZFHGXWPMULPQSE-OVGMLNDJSA-N,Cc1c(F)c(F)c(COC(=O)[C@@H]2[C@@H](/C=C(\Cl)C(F)(F)F)C2(C)C)c(F)c1F,-7.3200002,5.5518,418.734
327,C67,CPMZWWWXIWHTMU-IAWOBFGDSA-N,C[C@H]1CO[C@@H]2C[C@@]3(C)[C@@H](C[C@H]4[C@@H]5C=C6C[C@H](O)CC[C@@]6(C)C[C@H]5CC[C@@]43C)O[C@H]2C1,-7.3200002,5.5088,414.621
328,C1972,KDQAABAKXDWYSZ-JKDPCDLQSA-N,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,-7.309258153,4.3597,909.053
329,C1973,SFVFIFLLYFPGHH-UHFFFAOYSA-M,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],-7.309042832,5.5285,424.146
330,C1974,CXMMLPJDUMSKBJ-UHFFFAOYSA-N,COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)[NH+](CCc1ccccc1)CC2.O=C([O-])C(=O)O,-7.294495949,4.1049,526.02
331,C1975,OYFJQPXVCSSHAI-QFPUQLAESA-N,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O.O=C(O)/C=C\C(=O)O,-7.294488262,1.6452,492.519
332,C1976,NAXCZPWMFMOBLL-UHFFFAOYSA-N,O=C(Oc1ccc(N(CCBr)CCBr)cc1)c1cccc(Cl)c1,-7.291333098,5.1554,461.575
333,C1977,AVCQZLIKYAQLME-UHFFFAOYSA-N,O=C(Oc1ccc(N(CCBr)CCBr)cc1)c1ccc(Cl)cc1,-7.291333098,5.1554,461.575
334,C68,VTLYHLREPCPDKX-UHFFFAOYSA-N,Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-7.2800002,5.9672,291.988
335,C69,LWLJUMBEZJHXHV-UHFFFAOYSA-N,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-7.2800002,7.7256,474.637
336,C70,CJDWRQLODFKPEL-UHFFFAOYSA-N,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-7.2800002,4.9756,381.109
337,C1978,KQUFNWNGQCSKFH-UHFFFAOYSA-N,CN1CCC(OC(=O)C2CCc3cc(C4CCCCC4)ccc32)CC1.Cl,-7.267807629,5.1414,377.948
338,C1979,WBWUPLAUZIIRBV-UHFFFAOYSA-N,CC(C)N(CCSCCOC(=O)N1c2ccccc2Sc2cccnc21)C(C)C.Cl,-7.267191223,6.5399,468.076
339,C1980,OWMPDOOBDJGPDB-UHFFFAOYSA-N,Brc1ccc(OCCCNCCSSCCNCCCOc2ccc(Br)cn2)nc1.Cl.Cl,-7.260027536,7.186,653.322
340,C71,BXWNKGSJHAJOGX-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCO,-7.2600002,5.46,242.441
341,C1981,JXLYSJRDGCGARV-XQKSVPLYSA-N,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,-7.259874905,3.9317,810.974
342,C1982,FYXWDSGGZAMYFZ-UHFFFAOYSA-N,CCN1/C(=C\C=C\C=C\c2sc3ccccc3[n+]2CC)Sc2ccccc21,-7.252366416,5.576,391.572
343,C72,KENZYIHFBRWMOD-UHFFFAOYSA-N,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,5.9672,291.988
344,C1983,SZEGKVHRCLBFKJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCNC,-7.243105463,6.8582,283.536
345,C1984,OPFTUNCRGUEPRZ-QLFBSQMISA-N,C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C,-7.242203636,4.7472,204.351
346,C1985,HCAWPGARWVBULJ-IAGOWNOFSA-N,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,-7.241582099,5.7358,314.462
347,C1986,KSZBMSJSJFZGRF-UHFFFAOYSA-N,CC(C)c1cc(Oc2c(I)cc(CC(=O)O)cc2I)ccc1O,-7.23256858,5.1442,538.115
348,C1987,UFDCSHQNNVQXAS-UHFFFAOYSA-N,CSc1ccc2c(c1)N(CCC1CCCCN1)c1ccccc1S2,-7.227833101,5.9372,356.548
349,C1988,WSABIMDRSAVSKO-LFMIJCLESA-N,CN(C)CC/C=C1/c2ccccc2C(C)(C)c2ccc(C(F)(F)F)cc21.Cl,-7.226511069,6.5301,395.889
350,C1989,GXDALQBWZGODGZ-UHFFFAOYSA-N,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,-7.22414125,5.3622,458.57
351,C1990,MMDHGCAJSAUDDC-UHFFFAOYSA-N,CCOc1nc(N2CCN(CCC(c3ccccc3)(c3ccccc3)c3ccccc3)CC2)ncc1C(=O)O,-7.222665778,5.1231,522.637
352,C73,AIURIRUDHVDRFQ-UHFFFAOYSA-N,Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1Cl,-7.21,6.6206,326.433
353,C74,JTUSORDQZVOEAZ-UHFFFAOYSA-N,Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-7.21,6.6206,326.433
354,C75,AHJKRLASYNVKDZ-UHFFFAOYSA-N,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-7.1999998,5.929,320.041
355,C1991,LPLVUJXQOOQHMX-QWBHMCJMSA-N,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,-7.191257284,2.2456,822.932
356,C1992,KWDNTYRMVNFPGJ-UHFFFAOYSA-N,C1CCC(CCNC2CCC(NCCC3CCCCC3)CC2)CC1.CC(=O)O.CC(=O)O,-7.189373813,6.3812,454.686
357,C1993,JLRNKCZRCMIVKA-UHFFFAOYSA-N,CC(C)(Oc1ccc(Cl)cc1)C(=O)OCCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,-7.182668824,5.4849,469.355
358,C1994,XMVQWNRDPAAMJB-QGZVFWFLSA-N,O=C(O)CCCCCCCCCCCC[C@@H]1C=CCC1,-7.179514628,5.7184,280.445
359,C1995,CANCCLAKQQHLNK-UHFFFAOYSA-N,Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)C2CCC3C2)c1,-7.17737408,5.1598,323.452
360,C1996,LWXUPCAADQWXRE-HZSDWAELSA-N,C/C=C\C=C\[C@@H]1O[C@](O)([C@H](CC)C(=O)NC/C=C/C=C(\C)[C@@H](OC)[C@@H](C)[C@@H]2O[C@H](/C=C/C=C/C=C(C)/C(O)=C3/C(=O)C=CNC3=O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)C1(C)C,-7.17633929,3.5424,796.943
361,C1997,BAYSQTBAJQRACX-UHFFFAOYSA-N,CCCCCCCCCCCCOC(=O)c1ccc(O)cc1,-7.172486751,5.4699,306.44
362,C1998,LNMLHGDTVHDNQV-UHFFFAOYSA-N,C1CCC(C[NH2+]CC2CC3CCC2CC3C[NH2+]CC2CCCCC2)CC1.[Cl-].[Cl-],-7.171652322,-2.6658,433.541
363,C1999,OEAIWCFLDKVTJA-UHFFFAOYSA-N,CN(C)C1C=CC2(CC1)c1ccccc1C=Cc1ccc(Cl)cc12.Cl,-7.17125782,6.1921,372.331
364,C2000,RIQFAHOGTLRWSQ-UHFFFAOYSA-N,CC[NH+](CC)CCOC(=O)c1c2ccccc2cc2ccccc12.[Cl-],-7.168128716,0.0785,357.874
365,C76,HLQDGCWIOSOMDP-UHFFFAOYSA-N,Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,-7.1599998,5.9672,291.988
366,C2001,UBGHFEFTDIQMFK-UHFFFAOYSA-N,Cl.Cl.Clc1ccccc1CNCC1CCC12CCC2CNCc1ccccc1Cl,-7.159373033,8.065,476.31
367,C2002,OMCKLQRQFUWZOA-UHFFFAOYSA-N,CCCC(C)(COC(=O)NC(O)C(Cl)(Cl)Cl)COC(=O)NC(O)C(Cl)(Cl)Cl,-7.15503222,4.4042,513.026
368,C2003,RHPGONJTJILALS-UHFFFAOYSA-N,CC(CN1CCN(c2ncccn2)CC1)C(c1ccccc1)(c1ccccc1)c1ccccc1.COS(=O)(=O)O.COS(=O)(=O)O,-7.151200126,6.305,672.812
369,C77,YVGGHNCTFXOJCH-UHFFFAOYSA-N,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,-7.1500001,6.4955,354.486
370,C2004,GGJLCOPSTSMTDX-FJUODKGNSA-N,CN(C)CC/C=C1\c2ccccc2Sc2ccc(I)cc21.Cl,-7.148848364,5.9412,443.773
371,C2005,RYMZZMVNJRMUDD-HGQWONQESA-N,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,-7.144651004,4.5856,418.566
372,C2006,PUEDRVOCLLHKQK-UHFFFAOYSA-N,C1CCC(CNCC2CCC(CNCC3CCCCC3)CC2)CC1.Cl.Cl,-7.141788809,7.5184,407.504
373,C2007,DTNBCRXQERFIGT-UHFFFAOYSA-N,C1CCCC(NCC2CCC(CNC3CCCCCC3)CC2)CC1.Cl.Cl,-7.141788809,7.8034,407.504
374,C2008,ZMZGFLUUZLELNE-UHFFFAOYSA-N,O=C(O)c1cc(I)cc(I)c1I,-7.141299486,3.1986,499.811
375,C2009,CVRALZAYCYJELZ-UHFFFAOYSA-N,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,-7.137838139,6.0667,412.066
376,C2010,NOYYDDKJNWKCEQ-UHFFFAOYSA-N,CCCCOc1ccc(OCC(=O)N(c2ccc(OC)cc2)C(C)N2CCCCC2)cc1.O=C(O)C(O)C(O)C(=O)O,-7.135861152,2.9333,590.662
377,C2011,WFLPPJLXJCKEGI-QOVZSLTQSA-N,Br.CCN(CC)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,-7.134055482,6.9263,424.825
378,C2012,JQIYNMYZKRGDFK-RUFWAXPRSA-N,CCC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OC(=O)CC)CC[C@@H]12,-7.133127969,5.1799,384.508
379,C2013,GPKJTRJOBQGKQK-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,-7.131315398,6.0454,399.957
380,C2014,YQNFBOJPTAXAKV-OMCISZLKSA-N,CN(C)/C=N/c1c(I)cc(I)c(CCC(=O)O)c1I,-7.128996546,3.739,597.957
381,C2015,ANLDLZZUCDUNDH-UHFFFAOYSA-N,C1CC(CNCC2CC3CCC2C3)CCC1CNCC1CC2CCC1C2.Cl.Cl,-7.121793393,7.2302,431.526
382,C2016,WDRFFJWBUDTUCA-UHFFFAOYSA-N,CC(=O)O.CC(=O)O.NC(=N\CCCCCC/N=C(N)/N=C(\N)Nc1ccc(Cl)cc1)/N=C(\N)Nc1ccc(Cl)cc1,-7.119572605,6.4656,625.551
383,C2017,ONNOFKFOZAJDHT-UHFFFAOYSA-N,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,-7.113587029,4.8902,337.455
384,C2018,VTMUHKQETIHHIO-UHFFFAOYSA-N,[Cl-].[Cl-].c1ccc2c(c1)CCC2[NH2+]CC12CCC(C[NH2+]C3CCc4ccccc43)(CC1)CC2,-7.113050965,-2.1632,473.521
385,C2019,SYHDSBBKRLVLFF-UHFFFAOYSA-N,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1,-7.112180045,5.8476,438.001
386,C78,XJKSTNDFUHDPQJ-UHFFFAOYSA-N,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-7.1100001,5.0206,230.304
387,C2020,JYWIYHUXVMAGLG-UHFFFAOYSA-N,O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,-7.106005414,5.6901,401.457
388,C2021,XAZLLTCLHJFEHD-UHFFFAOYSA-N,C1=C(CNCC2CCCCC2)CCC(CNCC2CCCCC2)C1.CC(=O)O.CC(=O)O,-7.101908271,6.0163,452.67
389,C2022,VZLSHAUEBAEMHM-UHFFFAOYSA-N,COc1cc(NC(C)CCCN(C)C)c2nc3ccc(Cl)cc3cc2c1,-7.099144977,5.2652,371.904
390,C2023,XXQMDKCWUYZXOF-UHFFFAOYSA-N,CCN(CC)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl,-7.092262095,6.5416,383.378
391,C2024,NBEALWAVEGMZQY-UHFFFAOYSA-N,C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1,-7.088437071,5.0132,333.424
392,C2025,WJLVQTJZDCGNJN-UHFFFAOYSA-N,Cl.Cl.NC(=N\CCCCCC/N=C(N)/N=C(\N)Nc1ccc(Cl)cc1)/N=C(\N)Nc1ccc(Cl)cc1,-7.085510632,7.8878,578.368
393,C2026,VHBUILOKMFUWPN-UHFFFAOYSA-N,Cl.Cl.Clc1ccccc1CNCCCCCCCCNCc1ccccc1Cl,-7.082089296,8.5992,466.315
394,C2027,YTSPICCNZMNDQT-UHFFFAOYSA-M,CC[N+](C)(CC)CCSC1=Nc2ccccc2N=C(c2ccc(Sc3ccccc3)cc2)C1.[I-],-7.076539254,3.4871,601.608
395,C2028,PYTMYKVIJXPNBD-OQKDUQJOSA-N,CCN(CC)CCOc1ccc(/C(=C(\Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,-7.074335271,5.3141,598.083
396,C2029,RDOIQAHITMMDAJ-UHFFFAOYSA-N,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,-7.070889921,5.0259,477.038
397,C2030,CJMJLDQKTOJACI-BGQAIRJTSA-N,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21.CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21.O=C(O)[C@H](O)[C@@H](O)C(=O)O,-7.06532915,2.2682,1313.41
398,C2031,XNWKPZJCRBUXIU-UHFFFAOYSA-N,CC(=O)O.CC(=O)O.CC1CCCC(NCC2CCC(CNC3CCCC(C)C3)CC2)C1,-7.063328593,6.093,454.686
399,C2032,YYLJRENQBJIZGV-UHFFFAOYSA-N,Cc1ccccc1C(=O)Oc1ccc(N(CCBr)CCBr)cc1,-7.060267847,4.8104,441.157
400,C2033,GWEJBHPUPOEHFW-UHFFFAOYSA-N,Cc1cccc(C(=O)Oc2ccc(N(CCBr)CCBr)cc2)c1,-7.060267847,4.8104,441.157
401,C2034,HETTWOPRDUZXMX-UHFFFAOYSA-N,Cc1ccc(C(=O)Oc2ccc(N(CCBr)CCBr)cc2)cc1,-7.060267847,4.8104,441.157
402,C2035,RDBVETSHLDWOJK-UHFFFAOYSA-N,O=C(Oc1ccc(N(CCBr)CCBr)cc1)c1cccc([N+](=O)[O-])c1,-7.052888075,4.9334,472.128
403,C2036,SDAIMQSEPQFQJY-UHFFFAOYSA-N,O=C(Oc1ccc(N(CCBr)CCBr)cc1)c1ccc([N+](=O)[O-])cc1,-7.052888075,4.9334,472.128
404,C79,WIDHRBRBACOVOY-UHFFFAOYSA-N,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,-7.0500002,6.6206,326.433
405,C80,AUGNBQPSMWGAJE-UHFFFAOYSA-N,Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,-7.0500002,6.6206,326.433
406,C2037,AXISYYRBXTVTFY-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OC(C)C,-7.0447084,5.6391,270.451
407,C2038,UEGLUMKTWJPXEP-OYXUYBEVSA-N,Clc1ccc2c(c1)/C(=C/CCN1CCCC1)c1ccccc1S2.O=S(=O)(O)O,-7.040277695,6.0881,439.976
408,C2039,UEGLUMKTWJPXEP-GBKTVRHWSA-N,Clc1ccc2c(c1)/C(=C\CCN1CCCC1)c1ccccc1S2.O=S(=O)(O)O,-7.040277695,6.0881,439.976
409,C2040,CIPKTKYIACDNOR-UHFFFAOYSA-N,CC(C)=CCN(CC=C(C)C)CCC(C)(C(N)=O)c1cccc2ccccc12.Cl,-7.039427734,6.7096,415.011
410,C2041,MPNVQOYJNGVWGN-UHFFFAOYSA-N,CC(C)=CC[NH+](CC=C(C)C)CCC(C)(C#N)c1cccc2ccccc12.[Cl-],-7.035312692,1.83248,396.996
411,C2042,RVBRTNPNFYFDMZ-SPIKMXEPSA-N,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,-7.03413857,4.4032,631.76
412,C2043,ZPIZOEMTEYVDGD-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCNCCSS(=O)(=O)O,-7.03038987,7.8452,409.69
413,C2044,SUZZKNCPUCQBBP-UHFFFAOYSA-N,O=C(Oc1ccc(N(CCCl)CCCl)cc1)c1cccc(Br)c1,-7.025872618,4.9523,417.124
414,C2045,VSZDJZWCVDOADP-UHFFFAOYSA-N,O=C(Oc1ccc(N(CCCl)CCCl)cc1)c1ccc(Br)cc1,-7.025872618,4.9523,417.124
415,C2046,UWFYSQMTEOIJJG-FDTZYFLXSA-N,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,-7.025683085,4.6076,416.938
416,C2047,ZQWBGSZBBGYKNV-UHFFFAOYSA-N,CCOc1ccc(N=C(Nc2ccc(OC)cc2)Nc2ccc(OC)cc2)cc1.Cl,-7.024990344,6.2622,427.924
417,C2048,YWYQTGBBEZQBGO-BERLURQNSA-N,C[C@H](O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-7.020271592,4.387,320.509
418,C81,ARSRBNBHOADGJU-UHFFFAOYSA-N,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-7.02,5.763,256.341
419,C2049,DFBQRUOKBUEDCF-UHFFFAOYSA-N,C1=C(CNCC2CCC(CNCC3=CCCCC3)CC2)CCCC1.CC(=O)O.CC(=O)O,-7.01536361,5.9364,450.654
420,C2050,UBCDCHSRDTZLLP-UHFFFAOYSA-N,CCCCOc1ccc(OCC(=O)N(CCN(C)C)c2c(C)cccc2C)cc1.Cl,-7.012153881,5.2579,434.999
421,C82,SDOJHDGZFOGOFD-UHFFFAOYSA-N,Cc1c(C)c2c3ccccc3ccc2c2ccccc12,-7.0100002,5.763,256.341
422,C2051,IWGXWWNPWMLNMY-UHFFFAOYSA-N,CC(C)c1ccccc1OCC(C)[NH+](CCCl)Cc1ccccc1.[Cl-],-7.003843454,0.9052,382.367
423,C83,HCWZEPKLWVAEOV-UHFFFAOYSA-N,Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,-7.0,5.9672,291.988
424,C2052,GUTINEQUFDFTSC-UHFFFAOYSA-N,C1=C(CNC2CCc3ccccc32)CCC(CNC2CCc3ccccc32)C1.Cl.Cl,-6.99464385,7.6529,445.468
425,C2053,LQUVLNWIUORBDJ-UHFFFAOYSA-N,Cl.Cl.Clc1ccccc1CNCC1CCC(CNCC2CCCCC2)CC1,-6.992985145,7.7917,435.902
426,C2054,RIGPVBUAGOURJC-UHFFFAOYSA-N,Cl.O=C(OCCOCCCN1CCCCC1)N1c2ccccc2Sc2cccnc21,-6.987625722,5.5184,449.994
427,C2055,YZXBAPSDXZZRGB-DOFZRALJSA-N,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,-6.986482276,6.2167,304.467
428,C2056,PWZUUYSISTUNDW-VAFBSOEGSA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,-6.983895731,5.2284,364.52
